district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat
Chaki Wardak,04,04,قریه,0404103,Qulak Village,Kolak Village House,Wardak,1,1,2,Village,68.539137,34.086671
Chaki Wardak,04,04,قریه,0404104,Khalili Village,Dagarwal Sardar Khan House,Wardak,1,1,2,Village,68.629344,34.125106
Chaki Wardak,04,04,قریه,0404107,Gawgush Tent,Gawgosh Tent,Wardak,1,1,2,Village,68.676411,34.157551
Sayyd Abad,05,04,تعمیر,0405108,Aman Khel,Sayed Abad High School,Wardak,1,1,2,Building,68.710154,33.996366
Sayyd Abad,05,04,تعمیر,0405113,Hashim Khel,Shaikh Abad High School,Wardak,1,1,2,Building,68.760907,34.082260
Sayyd Abad,05,04,تعمیر,0405114,Dasht-E-Toop,Dasht-E-Toop High School,Wardak,1,2,3,Building,68.795819,34.168584
Sayyd Abad,05,04,قریه,0405125,Aka Khel Village,Khazandar House,Wardak,1,2,3,Village,68.687007,33.930236
Sayyd Abad,05,04,قریه,0405126,Salar,Salar Mosque,Wardak,1,1,2,Village,68.666685,33.903193
Sayyd Abad,05,04,قریه,0405137,Kamran Khel,Kamran Khel School,Wardak,1,1,2,Village,68.814731,33.994501
Markaz-E-Behsud,09,04,قریه,0409036,Rashak,Rashak School,Wardak,1,1,2,Village,67.913866,34.503074
Markaz-E-Behsud,09,04,قریه,0409037,Daman Khalil,Daman Khalil Mosque,Wardak,1,1,2,Village,67.711038,34.541484
Markaz-E-Behsud,09,04,تعمیر,0409044,Tagab Ramoz Village,Tagab-E-Ramoz High School,Wardak,1,2,3,Building,67.780560,34.407162
Markaz-E-Behsud,09,04,تعمیر,0409045,Kutal-E-Molla Yaqub,Kotal-E-Molla Yaqub School,Wardak,1,2,3,Building,67.676711,34.419562
Markaz-E-Behsud,09,04,قریه,0409053,Bazar-E-Markaz,Bazar-E-Markaz,Wardak,1,2,3,Village,67.903900,34.344951
Markaz-E-Behsud,09,04,تعمیر,0409054,Rahqul,Rahqul Girls High School,Wardak,1,2,3,Building,67.820753,34.354396
Markaz-E-Behsud,09,04,تعمیر,0409057,Mer Hazar Village,Mer Hazar-E-Kajab High School,Wardak,1,2,3,Building,68.002339,34.245924
Markaz-E-Behsud,09,04,قریه,0409058,Dahan-E-Oji,Dahan Oji School,Wardak,1,1,2,Village,67.888833,34.236459
Nerkh,02,04,قریه,0402153,Ismaiel Khel,Ismaiel Khel School,Wardak,1,2,3,Village,68.670000,34.327500
Nerkh,02,04,قریه,0402154,Akhchi,Akhchi Mosque,Wardak,1,1,2,Village,68.725600,34.323300
Jalrez,03,04,قریه,0403024,Ahmad Zai Village,Kohi Zaiolat Tent,Wardak,1,2,3,Village,68.817715,34.443698
Puli Alam,01,05,تعمیر,0501005,Konjak,Poorak School,Logar,3,3,6,Building,69.053959,34.103280
Puli Alam,01,05,تعمیر,0501006,Qala-E-Ghafar,Qala-E-Ghafar School,Logar,2,2,4,Building,68.987764,34.040127
Puli Alam,01,05,تعمیر,0501008,Dado Khel,Dadokhel Secondary School,Logar,1,3,4,Building,69.095191,34.083329
Puli Alam,01,05,تعمیر,0501009,Altamor,Altamor Secondary School,Logar,1,4,5,Building,69.095558,33.792151
Baraki Barak,02,05,تعمیر,0502027,Qala-E-Shaki,Qala-E-Shaki Boys And Girls School,Logar,1,1,2,Building,68.997261,33.923074
Baraki Barak,02,05,تعمیر,0502028,Chalozaye,Pul-E-Ghazi School And Clinic,Logar,1,2,3,Building,68.879851,33.962018
Baraki Barak,02,05,قریه,0502030,Sujawand,Sujawand School,Logar,1,1,2,Village,68.807352,33.904412
Baraki Barak,02,05,تعمیر,0502031,Shah Mazar,Shah Mazar Mosque,Logar,1,2,3,Building,68.947260,33.886475
Khushi,04,05,تعمیر,0504049,Dubandi Baghal,Dubandi School,Logar,2,2,4,Building,69.316197,33.959116
Mohammad Agha,05,05,تعمیر,0505050,Safid Sang,Safid Sang School,Logar,1,3,4,Building,69.148514,34.294485
Panjwayee,04,27,قریه,2704183,Zangi Abad,Sultan Mohammad Khan School,کندهار,0,2,2,Village,65.382825,31.485683
Gulran,08,32,قریه,3208227,Chah Galgal Village,Chah Galgal Mosque,Herat,1,1,2,Village,61.385913,35.492552
Adraskan,09,32,تعمیر,3209294,Chahe Surkhak,Chahe Surkhak Mosque,Herat,1,1,2,Building,62.026726,33.635243
Kohsan,13,32,تعمیر,3213235,Bay Mohammad,Bay Mohammad Primary School,Herat,2,1,3,Building,61.311354,34.805048
Shindand,14,32,تعمیر,3214307,Khwaja Nowh Village,Haji Ibrahim Mosque,Herat,1,1,2,Building,62.172188,33.305642
Chisht-E-Sharif,16,32,تعمیر,3216393,Deh Zabr,Deh Zabr Mosque,Herat,1,1,2,Building,63.775541,34.335220
Farah,01,33,تعمیر,3301033,Nahia 3,Tawfiq Merzaye High School,Farah,2,2,4,Building,62.114562,32.373153
Lash-E-Juwayn,09,33,تعمیر,3309106,Peer Kandar,Peer Kandar Primary School,Farah,1,1,2,Building,61.623286,31.931535
Delaram,06,34,تعمیر,3406048,District Capital,Boys Primary School,Nimroz,1,2,3,Building,63.428692,32.162887
Kama,05,06,تعمیر,0605158,Sangar Sray,Sangar Sray Clinic,Nangarhar,2,1,3,Building,70.640221,34.410621
Kama,05,06,تعمیر,0605159,Merzakhel,Mirza Khel School,Nangarhar,1,1,2,Building,70.676039,34.411687
Sar Rawza,05,12,تعمیر,1205074,Sar Rawza Bazar,Sar Rawza Primary School,Paktika,0,4,4,Building,68.999045,33.115692
Sar Rawza,05,12,قریه,1205075,Marzak,Marzak Boys School,Paktika,0,3,3,Village,69.084667,33.147707
Wuza Zadran,05,13,تعمیر,1305116,Lotta Village,Lota Mosque,Paktya,0,2,2,Building,69.452631,33.369599
Khas Urozgan,05,25,تعمیر,2505025,Gandab Bazar,Bazar Gandab High School,Urozgan,3,4,7,Building,66.850258,33.116396
Khas Urozgan,05,25,تعمیر,2505026,Hussaini Bazar,Hussaini Bazar High School,Urozgan,2,3,5,Building,66.819980,33.068057
Atghar,08,26,تعمیر,2608035,Atghar Bazar,District Clinic,Zabul,1,1,2,Building,67.358684,31.735965
Daman,03,27,تعمیر,2703082,Shorandam,Shorandam School,کندهار,0,2,2,Building,65.824369,31.582908
Marja,14,30,قریه,3014082,Zabar Abad Dorahi,Amr Boland Marja Private House,Helmand,1,2,3,Village,64.231819,31.562736
Pashtun Zarghun,06,32,قریه,3206147,Aabgarmi Village,Clinic And Mosque,Herat,1,1,2,Village,62.605273,33.981496
Asl-E-Chakhansur,03,34,تعمیر,3403031,Sahib Dad,Sahib Dad School,Nimroz,1,1,2,Building,62.191429,31.216649
Asl-E-Chakhansur,03,34,تعمیر,3403032,Shah Qais Village,Shah Qais School,Nimroz,1,1,2,Building,62.076781,31.216458
Kabul-D01,01,01,تعمیر,0101018,Bala Qala Ashuqan-O-Arifan,Bala Qala Mosque,Kabul,1,2,3,Building,69.175620,34.507540
Kabul-D02,01,01,تعمیر,0101029,Shah-E-Du Shamshera,Shah-E- Du Shamshera High School,Kabul,2,3,5,Building,69.171894,34.516853
Kabul-D02,01,01,تعمیر,0101030,Qul-E-Aab Chakan,Naieb Salar Mosque,Kabul,1,2,3,Building,69.161559,34.525928
Kabul-D05,01,01,تعمیر,0101077,Poly Technique,Poly Technique Mosque,Kabul,3,3,6,Building,69.116471,34.532358
Kabul-D05,01,01,تعمیر,0101078,Qala-E-Kashif,Hazrat Bilal Mosque,Kabul,3,3,6,Building,69.045537,34.525407
Kabul-D06,01,01,تعمیر,0101096,Telegraph Center,Imam-E-Hussain Mujtaba Mosque,Kabul,2,3,5,Building,69.110194,34.505310
Kabul-D06,01,01,تعمیر,0101097,Qala-E-Nazer,Khatamul Anbia Madrassa,Kabul,4,4,8,Building,69.104497,34.504163
Kabul-D06,01,01,تعمیر,0101115,Pul-E-Sukhta,Jamia Islam Madrassa,Kabul,2,3,5,Building,69.117786,34.504384
Kabul-D10,01,01,تعمیر,0101203,Chahar Qala,Yadgar Mosque,Kabul,1,2,3,Building,69.177046,34.548878
Kabul-D10,01,01,تعمیر,0101223,Shahr-E-Naw,Ahmad Shah Masood High School,Kabul,2,3,5,Building,69.163493,34.547788
Kabul-D11,01,01,تعمیر,0101242,Proja 5 Khair Khana,Proja High School,Kabul,3,4,7,Building,69.122653,34.592969
Kabul-D11,01,01,تعمیر,0101243,Qala-E-Najarha,Public Helthe Workshop,Kabul,2,3,5,Building,69.131334,34.574988
Kabul-D12,01,01,تعمیر,0101249,Ahmad Shah Baba Mina,Ustad Ibrahim Khwakhwagi Secondary School,Kabul,3,4,7,Building,69.336232,34.525762
Kabul-D12,01,01,تعمیر,0101250,Ahmad Shah Baba Mina,Hazrat Ibrahim Khalilullah High School,Kabul,4,5,9,Building,69.312418,34.514373
Kabul-D13,01,01,تعمیر,0101277,Qala-E-Muhib,Malik Ashtar Mosque,Kabul,2,2,4,Building,69.046366,34.504707
Kabul-D13,01,01,تعمیر,0101500,"Onchi, Hospital Bus Stop",Quran O Utrat Mosque,Kabul,1,2,3,Building,69.090350,34.502665
Chahar Asyab,03,01,قریه,0103428,Karez Charsoq,Charsawq Karez Mosque,Kabul,1,1,2,Village,69.165769,34.410904
Bagrami,04,01,تعمیر,0104456,Bagrami,Abdul Shakur Reshad High School,Kabul,2,3,5,Building,69.296355,34.495429
Dehsabz,05,01,تعمیر,0105467,Bandi Khana,Shekho Secondary School,Kabul,2,3,5,Building,69.243152,34.728960
Shakar Dara,06,01,تعمیر,0106388,Deh Boya Zar,Boya Zar High School,Kabul,3,3,6,Building,69.061675,34.699911
Musahi,07,01,قریه,0107432,Dashtak,Shenkai Village Mosque,Kabul,2,1,3,Village,69.233298,34.369852
Musahi,07,01,قریه,0107433,Deh Kalan,Musahi Ulya High School,Kabul,2,2,4,Village,69.175184,34.328768
Mir Bacha Kot,08,01,تعمیر,0108336,Shaikhan,Shaikan Secondary School,Kabul,2,2,4,Building,69.121034,34.730617
Khak-E-Jabar,09,01,قریه,0109442,Malang,Shah Rasool House,Kabul,1,2,3,Village,69.395040,34.365101
Kalakan,10,01,تعمیر,0110357,Zama Naw Village,Zama Secondary School,Kabul,1,2,3,Building,69.190580,34.729132
Farza,12,01,تعمیر,0112350,Zargaran,Zargaran Mosque,Kabul,1,1,2,Building,69.058137,34.788658
Qara Bagh,14,01,تعمیر,0114360,Aka Khel,Aka Khel Secondary School,Kabul,3,3,6,Building,69.174053,34.870065
Qara Bagh,14,01,تعمیر,0114371,Langar,Langar High School,Kabul,3,3,6,Building,69.199619,34.820921
Surubi,15,01,تعمیر,0115484,Shahrak,Shahrak Primary School,Kabul,1,3,4,Building,69.754765,34.590351
Surubi,15,01,تعمیر,0115485,Hudkhel,Hudkhel Girls Secondary School,Kabul,1,2,3,Building,69.734076,34.586110
Surubi,15,01,قریه,0115486,Bam Darai,Bam Dare Mosque,Kabul,2,2,4,Village,69.898966,34.796858
Mahmudi Raqi,01,02,تعمیر,0201004,Shukhi,Allah Mohammad Shukhi High School,Kapisa,2,2,4,Building,69.430675,34.946200
Nijrab,05,02,تعمیر,0205048,Chinar-E-Qazi,Ghulam Jelani Shaheed School,Kapisa,1,2,3,Building,69.627301,35.045748
Nijrab,05,02,تعمیر,0205059,Loqman Dara-E-Ghous,Saranwal Habib Rahman Shaheed School,Kapisa,1,1,2,Building,69.657852,35.104192
Charikar,01,03,تعمیر,0301003,Charikar,Mohammad Usman Experimental High School,Parwan,2,3,5,Building,69.168982,35.013502
Charikar,01,03,تعمیر,0301013,Khwaja Sayaran Payan,Khwaja Sayaran Payan School,Parwan,1,2,3,Building,69.163487,34.990262
Charikar,01,03,تعمیر,0301024,Laghmani,Laghmani High School,Parwan,1,2,3,Building,69.156576,34.968452
Bagram,02,03,تعمیر,0302108,Qala-E-Khwaja,Aziz Rahman Shah School,Parwan,2,2,4,Building,69.200665,34.939607
Syahgirdi Ghorband,07,03,تعمیر,0307085,Chahar Deh,Chahar Deh High School,Parwan,1,2,3,Building,68.756337,34.998535
Shaykh Ali,10,03,قریه,0310130,Zeer Shebar Village,Pay-E-Kotal Tent,Parwan,1,1,2,Village,68.277013,34.908406
Jalrez,03,04,قریه,0403023,Ahmad Zai Village,Dawalan Secondary School,Wardak,1,2,3,Village,68.596782,34.485326
Chaki Wardak,04,04,قریه,0404102,Sarpush,Omer-E-Farooq Primary School,Wardak,1,1,2,Village,68.449655,34.140027
Sayyd Abad,05,04,قریه,0405112,Haider Khel,Haider Khel Village School,Wardak,1,2,3,Village,68.698927,33.957954
Sayyd Abad,05,04,قریه,0405124,Hakim Khel,School And Tent,Wardak,1,1,2,Village,68.669358,34.014905
Sayyd Abad,05,04,قریه,0405135,Joy Zarin,Joy Zarin High School,Wardak,1,1,2,Village,68.783927,34.020837
Daymirdad,06,04,تعمیر,0406068,Block Hussaini Village,Block Hussaini School,Wardak,1,1,2,Building,68.302919,34.384536
Daymirdad,06,04,قریه,0406069,Naqshen Village,Malik Asadullah House,Wardak,1,1,2,Village,68.306513,34.293854
Jaghatu,08,04,قریه,0408080,Noor Khel,Noor Khel Mosque,Wardak,1,1,2,Village,68.292288,33.728258
Markaz-E-Behsud,09,04,تعمیر,0409052,Sabza,Bara Khana School,Wardak,1,1,2,Building,67.356276,34.473168
Markaz-E-Behsud,09,04,قریه,0409062,Kamarak,Kamarak Mosque,Wardak,1,1,2,Village,67.572128,34.158296
Puli Alam,01,05,تعمیر,0501011,Pas Kariz,Pas Kariz School,Logar,1,2,3,Building,69.069147,33.954669
Baraki Barak,02,05,تعمیر,0502022,Baraki Barak,Ghazi Amanullah High School,Logar,1,6,7,Building,68.941066,33.967600
Baraki Barak,02,05,تعمیر,0502033,Qala-E-Jabir,Qala-E-Jabir School,Logar,1,1,2,Building,68.862937,33.941459
Mohammad Agha,05,05,تعمیر,0505055,Abazak,Abazak School,Logar,1,2,3,Building,69.058782,34.272448
Azra,07,05,قریه,0507077,Sang Baran Village,Sang Baran School,Logar,2,3,5,Village,69.646245,34.172802
Jalalabad,01,06,تعمیر,0601006,D01-Nahia 1,Abdul Wakel High School,Nangarhar,0,5,5,Building,70.468341,34.433144
Jalalabad,01,06,تعمیر,0601018,D05-Nahia 5,Shaheed Arif High School,Nangarhar,6,0,6,Building,70.433831,34.423065
Jalalabad,01,06,تعمیر,0601027,D01-Nahia 1,Sirajul Amarat Bagh,Nangarhar,0,5,5,Building,70.451948,34.434826
Jalalabad,01,06,تعمیر,0601039,D04-Nahia 4,Majboor Abad Jame Mosque,Nangarhar,0,4,4,Building,70.470248,34.413414
Surkh Rud,03,06,قریه,0603075,Sultanpoor,Haji Sardar Bagh,Nangarhar,2,0,2,Village,70.303708,34.407406
Surkh Rud,03,06,قریه,0603087,Amarkhel,Amarkhil School,Nangarhar,0,4,4,Village,70.363617,34.457216
Surkh Rud,03,06,قریه,0603098,Ganda Chashma,Ganda Chashma Mosque,Nangarhar,1,1,2,Village,70.428048,34.406242
Chaparhar,04,06,قریه,0604110,Maano Village,Maano High School,Nangarhar,1,2,3,Village,70.316854,34.248735
Kama,05,06,قریه,0605168,Koz Landabooch,Koz Landabooch Mosque,Nangarhar,0,2,2,Village,70.618675,34.431062
Kama,05,06,قریه,0605180,Koz Maidan,Hasrat Omar Faroq Mosque,Nangarhar,0,2,2,Village,70.612988,34.430673
Kuz Kunar,06,06,تعمیر,0606192,Qala Tak,Central Mosque,Nangarhar,0,3,3,Building,70.573016,34.573638
Rodat,07,06,تعمیر,0607128,Hesar-E-Shahee,Hesar-E-Shahee Mosque,Nangarhar,0,3,3,Building,70.576405,34.257353
Rodat,07,06,تعمیر,0607140,Barogaray,Barogaray Girls School,Nangarhar,2,0,2,Building,70.635419,34.258086
Khugyani,08,06,تعمیر,0608279,Peera Khel,Abko Madrassa,Nangarhar,1,1,2,Building,70.178492,34.199778
Khugyani,08,06,قریه,0608290,Khadar Khel,Khadar Khel Primary School,Nangarhar,1,2,3,Village,70.106645,34.177891
Khugyani,08,06,قریه,0608301,Do Aaba,Du Aaaba School,Nangarhar,1,1,2,Village,70.069817,34.358050
Deh Bala,10,06,تعمیر,0610330,Shpola,Shpola Boys High School,Nangarhar,1,2,3,Building,70.476586,34.190479
Pachir Wagam,11,06,قریه,0611317,Zmarkhel,Jaame Mosque,Nangarhar,1,2,3,Village,70.277840,34.194722
Darah-E-Noor,12,06,تعمیر,0612235,Sotan,Sotan Mosque,Nangarhar,0,3,3,Building,70.621130,34.715162
Goshta,14,06,قریه,0614491,Warsak,Warsak Mosque,Nangarhar,2,0,2,Village,70.812739,34.342763
Achin,15,06,قریه,0615357,Khadi Ragha,Khadi Ragha Khawga Khel Mosque,Nangarhar,1,1,2,Village,70.737137,34.127921
Achin,15,06,قریه,0615368,Gaawi Village,Gaawi Village Mosque,Nangarhar,3,0,3,Village,70.645132,34.057085
Shinwar,16,06,قریه,0616420,26 Viyala,26 Viyalai High School,Nangarhar,0,3,3,Village,70.793912,34.222301
Shinwar,16,06,تعمیر,0616433,Golayee Village,Golayee School,Nangarhar,0,4,4,Building,70.764360,34.213570
Muhmand Dara,17,06,تعمیر,0617481,Belay Village,Belay High School,Nangarhar,1,1,2,Building,70.865682,34.268040
Sher Zad,19,06,قریه,0619250,Marky Khel,Marky Khel Clinic,Nangarhar,0,3,3,Village,69.906105,34.310929
Nazyan,20,06,قریه,0620408,Sarobay Menz,Speen Mosque Maidan,Nangarhar,1,2,3,Village,70.804762,34.115559
Hesarak,21,06,قریه,0621258,Lahor Khel,Gulab Khel,Nangarhar,2,0,2,Village,69.651540,34.289582
Hesarak,21,06,قریه,0621271,Ali Sher,Ali Sher Mosque,Nangarhar,0,2,2,Village,69.715134,34.280500
Mehtarlam,01,07,تعمیر,0701009,Shamangal,Shamangal Mosque,Laghman,1,2,3,Building,70.239094,34.633906
Mehtarlam,01,07,قریه,0701018,Kolalan,Bady Abad Village Hujra,Laghman,1,2,3,Village,70.277487,34.739785
Mehtarlam,01,07,قریه,0701024,Khair Abad,Khair Abad Village Mosque,Laghman,1,2,3,Village,70.164721,34.674223
Qarghayee,02,07,تعمیر,0702036,Nahr Karim,Nahr Karim School And De Kaley Hojra,Laghman,1,3,4,Building,70.327192,34.530674
Qarghayee,02,07,تعمیر,0702046,Sarkando Baba,Sarkando Baba Hotel Hujra,Laghman,1,2,3,Building,70.007147,34.510016
Alishing,03,07,قریه,0703086,Shakarman,Shakarman School,Laghman,1,1,2,Village,70.148832,34.722038
Alishing,03,07,تعمیر,0703097,Islam Abad,Islam Abad Boys & Girls School,Laghman,1,3,4,Building,70.096413,34.752105
Alishing,03,07,قریه,0703107,Salab Sufla,Abdullah Ibn Masood High School,Laghman,1,2,3,Village,70.035753,34.788757
Alingar,04,07,تعمیر,0704064,Waronta,Waronta Village Mosque,Laghman,1,2,3,Building,70.371452,34.881771
Alingar,04,07,قریه,0704085,Adhar,Adhar Village Dera,Laghman,1,1,2,Village,70.371728,34.891664
Dawlat Shah,05,07,تعمیر,0705118,Dara Bagh,Dara Bagh Village Mosque,Laghman,2,1,3,Building,70.098611,34.970556
Bazarak,01,08,تعمیر,0801001,Bazarak,Bazarak High School,Panjshir,1,2,3,Building,69.514797,35.311588
Unaba,05,08,تعمیر,0805034,Tawaakh,Baghcha Kalan Bazar Tawakh,Panjshir,1,1,2,Building,69.401648,35.239276
Paryan,07,08,قریه,0807071,Sarshakh Nawdang,Sarshakh Nawdang,Panjshir,1,1,2,Village,70.003444,35.622568
Paryan,07,08,قریه,0807082,Shaniz Village,Shaniz Mosque,Panjshir,1,1,2,Village,69.973072,35.606233
Abshar,08,08,قریه,0808058,Ahlee Shafi,Ahlee Shafi Mosque,Panjshir,1,1,2,Village,69.876831,35.267038
Pul-E-Khumri,01,09,تعمیر,0901006,Second Nahia,Pol-E-Khomri Selo,Baghlan,1,1,2,Building,68.723927,35.925705
Pul-E-Khumri,01,09,تعمیر,0901231,Third Nahia,Abdul Qadeer Okhonzada School,Baghlan,1,2,3,Building,68.651495,36.019128
Dahana-E-Ghuri,02,09,تعمیر,0902238,Sorkhak,Sorkhak Mosque,Baghlan,1,1,2,Building,68.583240,35.695339
Dushi,03,09,قریه,0903102,Zahrabi Village,Zahrabi Village School,Baghlan,1,1,2,Village,68.762004,35.790444
Dushi,03,09,قریه,0903240,Zargha Village,Zargha Village Mosque,Baghlan,1,2,3,Village,68.583171,35.561641
Nahreen,04,09,تعمیر,0904139,Shahr-E-Jadid,Bibi Ameena Girls School,Baghlan,1,1,2,Building,69.104849,36.065335
Nahreen,04,09,تعمیر,0904245,Hafiz Bacha,Hafiz Bacha Mosque,Baghlan,1,1,2,Building,69.077451,36.058812
Andarab,07,09,تعمیر,0907121,Saripul Village,Sari Pul Village Tent,Baghlan,1,2,3,Building,69.279343,35.624882
Burka,10,09,تعمیر,0910150,Haji Hazrat Shah,Sai Hezada Secondary School,Baghlan,1,1,2,Building,69.323070,36.174816
Burka,10,09,تعمیر,0910162,Shash Gul,Baba Aayeb Secondary School,Baghlan,1,1,2,Building,69.120924,36.227111
Tala Wa Barfak,11,09,تعمیر,0911170,Surkhjoy,Barfak Secondary School,Baghlan,1,1,2,Building,68.142433,35.357154
Khost Wa Firing,13,09,تعمیر,0913256,Qala-E-Mir,Qala-E-Mir Primary School,Baghlan,1,1,2,Building,69.648074,35.954624
Firing Wa Gharu,15,09,تعمیر,0915257,Arbab Mulla Murad Shahr,Dasht-E-Shehan Mosque,Baghlan,1,1,2,Building,69.658780,36.130796
Bamyan,01,10,تعمیر,1001012,Topchi,Topchi Mosque,Bamyan,1,1,2,Building,67.947966,34.816059
Shebar,02,10,تعمیر,1002023,Khak Baba,Shanbol Boys School,Bamyan,1,1,2,Building,68.181171,34.889277
Saighan,03,10,تعمیر,1003034,Qaron-E-Sufla,Qarona Male Mosque,Bamyan,0,2,2,Building,67.654811,35.172411
Kahmard,04,10,تعمیر,1004057,Yalgah,Yalgah Mosque,Bamyan,1,1,2,Building,67.505560,35.362433
Panjab,06,10,تعمیر,1006097,"Beldar Ghotu, Dahan-E-Syah Dara",Munbar-E-Dahan Beldar Ghotu,Bamyan,1,2,3,Building,66.999124,34.340012
Panjab,06,10,تعمیر,1006108,Dahan-E-Qalacha,Dahan-E-Qalach Mosque,Bamyan,1,1,2,Building,66.785247,34.406015
Waras,07,10,تعمیر,1007119,Waras Center,Waras Central Mosque,Bamyan,1,1,2,Building,66.874481,34.204507
Waras,07,10,تعمیر,1007130,Nawgag,Dahan-E-Nawagag Mosque,Bamyan,1,1,2,Building,66.576211,34.081048
Waras,07,10,تعمیر,1007141,Petaab,Petaab-E-Kandook Mosque,Bamyan,1,1,2,Building,67.233674,33.984450
Ghazni,01,11,تعمیر,1101002,Department Of Municipality,Municipality Department,Ghazni,0,5,5,Building,68.426106,33.543913
Ghazni,01,11,تعمیر,1101012,Qala-E-Amir Mohammad Khan,Khan Kalan Mosque,Ghazni,1,2,3,Building,68.408039,33.520937
Ghazni,01,11,تعمیر,1101023,Bakawol Village,Emam Qeyam High School,Ghazni,1,3,4,Building,68.381054,33.600882
Ghazni,01,11,تعمیر,1101033,Khwaja Hakim Village,Hakim Mosque,Ghazni,3,0,3,Building,68.415408,33.560518
Ghazni,01,11,تعمیر,1101045,Urzo Village,Urzo Clinic,Ghazni,3,0,3,Building,68.493191,33.456160
Jaghatu,06,11,قریه,1106104,Balagh Village,Balagh Village Mosque,Ghazni,1,2,3,Village,68.096276,33.529095
Jaghatu,06,11,تعمیر,1106105,Godol Khan Mohammad Village,Senayee Qala-E-Yousuf High School,Ghazni,1,2,3,Building,68.093177,33.645125
Jaghatu,06,11,تعمیر,1106123,Dah Noori,Gulburi School,Ghazni,1,1,2,Building,68.190689,33.574632
Andar,07,11,قریه,1107224,Nani Village,Qari Sahib Jan School,Ghazni,1,3,4,Village,68.353988,33.397354
Andar,07,11,قریه,1107235,Khani Qala,Khani Qala Mosque,Ghazni,0,3,3,Village,68.510585,33.326550
Andar,07,11,قریه,1107245,Sardah Village,Sardah Village Mosque,Ghazni,0,3,3,Village,68.582524,33.275457
Zanakhan,08,11,قریه,1108073,Zahid Khel Village,Zahid Khel Village Mosque,Ghazni,0,2,2,Village,68.694859,33.683895
Nawur,10,11,تعمیر,1110258,Qala-E-Langar,Shaheed Murad Ali High School,Ghazni,1,1,2,Building,68.162949,33.844075
Nawur,10,11,قریه,1110269,Tarbolaq Village,Tarbolaq Village Mosque,Ghazni,1,1,2,Village,67.778671,34.109950
Qara Bagh,11,11,تعمیر,1111134,Pangeer Village,Sheer Khan School,Ghazni,0,2,2,Building,68.066630,33.194417
Qara Bagh,11,11,قریه,1111145,Bashi Village,Bashi Mosque,Ghazni,2,0,2,Village,67.975383,33.318013
Qara Bagh,11,11,تعمیر,1111162,Moshaki Village,Shaheed Abdul Salam Mosque,Ghazni,0,2,2,Building,68.186591,33.227101
Qara Bagh,11,11,قریه,1111173,Qolooch Bala Village,Toormi Qolooch Bala Mosque,Ghazni,2,0,2,Village,67.742633,33.137204
Giro,12,11,تعمیر,1112198,Musa Khel Village,Shaheed Abdul Matin High School,Ghazni,0,3,3,Building,68.350881,33.131607
Giro,12,11,ولسوالی,1112205,Nakhel Village,Nakhel Village Mosque,Ghazni,2,0,2,District,68.294890,33.029974
Jaghuri,14,11,تعمیر,1114321,Ali Sayed Village,Shabetak Madrassa,Ghazni,1,2,3,Building,67.495377,33.238943
Jaghuri,14,11,تعمیر,1114330,Mazar Bi Bi Village,Mazar Bi Bi Girls High School,Ghazni,1,2,3,Building,67.437913,33.061233
Jaghuri,14,11,تعمیر,1114341,Sang-E-Masha Bazar,Ghafor Sultani High School,Ghazni,2,9,11,Building,67.441776,33.139418
Jaghuri,14,11,تعمیر,1114350,Tylum Village,Jaka Secondary School,Ghazni,1,1,2,Building,67.327634,32.990968
Muqur,15,11,قریه,1115362,Qal-E-Yarbig,Qala-E-Yarbiq School,Ghazni,1,2,3,Village,67.836895,32.835730
Malistan,16,11,تعمیر,1116306,Khairo Village,Khairo Mosque,Ghazni,1,2,3,Building,67.055083,32.995190
Malistan,16,11,قریه,1116315,Qochanghato Village,Petaw Qochanghato Village Mosque,Ghazni,1,1,2,Village,67.383898,33.467065
Gelan,17,11,تعمیر,1117390,Dana Khel Village,Dana Khel Village Mosque,Ghazni,1,2,3,Building,67.755978,32.700945
Omna,06,12,قریه,1206284,District Center,Speena Clinic,Paktika,0,2,2,Village,68.798088,32.901023
Zarghun Shahr,07,12,قریه,1207085,Khair Kot,Naiem Shop,Paktika,0,3,3,Village,68.454579,32.851800
Zarghun Shahr,07,12,قریه,1207092,Zarghon Shahr,District Compound (Tent),Paktika,2,2,4,Village,68.447500,32.852222
Zarghun Shahr,07,12,قریه,1207093,Meli Zai,Meli Zai Mosque,Paktika,0,2,2,Village,68.494093,32.798721
Jani Khel,09,12,قریه,1209122,Shah Khel Abad Village,Shah Khel Abad Village School,Paktika,1,3,4,Village,68.385326,32.708161
Jani Khel,09,12,قریه,1209123,Shahen Shah Haji Hareem Khan Village,Akbar House,Paktika,0,3,3,Village,68.527303,32.537917
Urgoon,11,12,قریه,1211166,Mera Gul Village,Malik Moyen Guest House,Paktika,2,0,2,Village,69.186453,32.996042
Urgoon,11,12,تعمیر,1211167,Ambron Village,Chena Khwa Madrassa,Paktika,0,2,2,Building,69.214773,33.042621
Urgoon,11,12,قریه,1211168,Ambron Village,Amiran Guest House,Paktika,2,0,2,Village,69.221110,33.038623
Dila Wa Khushamand,16,12,ولسوالی,1216206,Gender,Gender Guest House,Paktika,1,3,4,District,68.205939,32.548020
Dila Wa Khushamand,16,12,قریه,1216208,District Center,District Compound Tent,Paktika,2,2,4,Village,68.044418,32.597105
